,rating,employee_type,review,pros,cons,date,job title
19,5.0,Current Employee,Working at Wellsfargo Auto,"Working at wells fargo auto was a positive experience in that the corporate setting makes it easy to complete your work and not have to feel like you have to do anything extra like take work outside of home. Many of the employees stay long term, as Wells Fargo Auto enjoys keeping qualified and experienced staff through promotion and retention practices.","Because I was a temporary employee, I had less pay than the other workers, which was okay; however, I would get extra benefits depending on what manager was in charge,",2021-11-23, Customer Support Specialist
20,5.0,Current Employee,Working at Wellsfargo Auto,"Working at wells fargo auto was a positive experience in that the corporate setting makes it easy to complete your work and not have to feel like you have to do anything extra like take work outside of home. Many of the employees stay long term, as Wells Fargo Auto enjoys keeping qualified and experienced staff through promotion and retention practices.","Because I was a temporary employee, I had less pay than the other workers, which was okay; however, I would get extra benefits depending on what manager was in charge,",2021-11-23, Customer Support Specialist
21,5.0,Former Employee,Teller review,Great Benefits offered to employees,Sales goals were stressful for me,2021-11-23, Teller
22,5.0,Current Employee,Great team,Amazing team members in a supportive environment,"After 3½ years, no cons",2021-11-24, Operational Risk Manager
23,5.0,"Former Employee, more than 1 year",Great benefits,Great Benita with options for perks,All good nothing bad to say,2021-11-24, Lead Teller
24,5.0,"Current Employee, more than 3 years",Good,Great team great work no stress,Possibility of errors in the work,2021-11-24, Loan Servicing Specialist
25,5.0,Current Employee,Could be worse..,"Great benefits, reputable company for job stability, wonderful team, great support system",Performance expectations can be unrealistic.,2021-11-24, Anonymous Employee
26,5.0,"Current Employee, more than 1 year",Awesome employer,Great benefits and pay with lots of upward and lateral mobility,Not many cons other than the buildings are empty due to covid,2021-11-22, Account Resolution Specialist II
27,5.0,"Former Employee, more than 3 years",Great Experience,"Great training, experience, breadth of work and good support",Working hours are greater than 80 hrs/week on average,2021-11-22, Anonymous Employee
28,5.0,"Current Employee, less than 1 year",New Employee,"Great benefits, nice performance bonus, nice team, fast paced, good onboarding",Lots of business changes to keep up with. Changing policies for RTO..,2021-11-22, Compliance Associate
29,5.0,"Current Employee, more than 10 years",Overall Great company to work for,Always an opportunity to move up within the company. Managers will work with you to help further your career. Great benefits. Focus on work/life balance.,Wages could be a bit higher.,2021-11-23, Quality Monitor II
30,4.0,Former Employee,Salary,"Have good opportunities,you can switch between departments","Management is not great,they will not show to oust you to the next level",2021-11-23, Anonymous Employee
31,5.0,"Former Employee, more than 5 years",Good place,Good benefits.No longer sales goals,Starting to do a lot of outbound calls,2021-11-21, Personal Banker
32,4.0,Former Employee,Large organization with opportunities for advancement,"- Friendly culture
- Many different business areas, functions, teams
- Professional development","- Bureaucratic due to large size
- Little emphasis on teambuilding
- A lot of organizational change going on at all times",2021-11-21, Anonymous Employee
33,4.0,"Current Employee, more than 3 years",Good and Bad,Work / Life Balance is the best,Your just a number there,2021-11-21, Branch Manager
34,4.0,"Current Employee, more than 3 years",Sustainable Company,Great benefits and ability to grow,Too many changes and little room for retention,2021-11-21, Business Banking Specialist
35,4.0,Current Employee,Good,Great company to work for,No cons at all with this company,2021-11-21, Security Operations Specialist
36,4.0,"Former Employee, more than 1 year",Good First Job,"PTO, Benefits, Upstream, Training, Options, Support","Layoffs
Busy
Stressful
Bonus Based On Survey Questions That You Cannot Always Influence",2021-11-22, Anonymous Employee
37,5.0,"Former Employee, less than 1 year",Decent Place. Long hours at times,"Nothing special, but could be worse",None that I can think of.,2021-11-20, Finance Manager
38,4.0,Current Employee,Great place to be,Generous salary good benefits great people,Too many process step changes implemented. No training for systems. Need to review their training model.,2021-11-20, Home Preservation Specialist
39,5.0,"Current Employee, more than 8 years",Great Company,Great benefits and the managers are approachable. They care about your career projection within the company.,"No cons. It's a job, that can become a career if you take skill building seriously, all is possible at the Wells.",2021-11-19, Quality Assurance Analyst
40,5.0,Current Employee,fast,the process was easy and fast,I dont have any cons,2021-11-19, Programmer Analyst
41,5.0,"Current Employee, less than 1 year",awesome!,"Amazing team, Great benefits, good pay, flexible",so complaints in my experience so far!,2021-11-19, Tech Ops Analyst
42,5.0,Former Employee,Good company,Pleasant work place and people,Long work hours and weekends,2021-11-20, VPHR
43,4.0,Former Employee,Wells Fargo,Great people to work with.,Contract jobs don't pay very much.,2021-11-19, Technical Writer
44,5.0,"Former Employee, more than 5 years",Great work/life balance,Work/life balance was excellent. Corporate culture is mostly positive.,"Too many manual processes, insufficient technology to complete repetitive tasks.",2021-11-18, Audit Manager
45,5.0,"Current Employee, more than 8 years",Great place to work!,Great place to work as they offer awesome training and coaching opportunities.,Work can be demanding and stressful at times.,2021-11-19, Anonymous Employee
46,5.0,Current Employee,Its just great working here,Beneits! They are simply excellent,I believe they have lower wages than some of their competitors.,2021-11-19, Personal Banker
47,5.0,Current Employee,Great financial organization,I only wish outsiders would know about the amazing diverse talented people who are dedicated to their jobs and serving their local communities. Don't let the media paint a negative view of this bank since all companies have a few rotten apples. There is not a perfect company. 99% of employees are great performers who take ownership and pride.,"I've been with this financial institution, ""on the Stagecoach"" for 20+ years. It's been a great career and nothing comes to mind from a negative perspective. All my experiences have been positively rewarding.",2021-11-19, Business Initiatives Consultant
48,5.0,"Current Employee, more than 1 year",Great benefits,Benefits are great other then good management,Schedule can change any time,2021-11-14, Fraud and Claims Ops Specialist
49,4.0,"Current Employee, more than 1 year",It's Fine,Paid holidays and normal hours,low pay compared to competitors,2021-11-18, Bank Teller
50,5.0,Current Employee,great job,"easy training 
Fun environment
work from home","Managers unorganized
Micromanage time
benefits are okay",2021-11-18, Customer Service Representative
51,5.0,Current Employee,Great benifits,Great health insurance and leave,Tons of last minute changes with no prep,2021-11-18, Anonymous Employee
52,4.0,"Current Employee, more than 3 years",great place for work,work culture is good and seniors are helpful,salary is not as good as other banks,2021-11-17, Anonymous Employee
53,4.0,"Former Employee, more than 5 years",Good people,Good people to work with in the call center.,Can be a stressful place to work.,2021-11-17, Customer Account Specialist
54,4.0,Former Employee,Salary,Leading a team but with manager help.,Sometimes too many responsibilities put onto you.,2021-11-17, Lead Teller
55,4.0,"Current Employee, more than 5 years",Overall good,"Great benefits, time off, and 401k match",Company going through major organizational transition which has caused some problems. Base pay recently increased for all unskilled roles but not adjusted for more specialized roles so unskilled workers make almost as much as skilled.,2021-11-18, Relationship Banker
56,4.0,"Former Employee, less than 1 year",Fair,Great staff that acknowledges effort.,Not much potential for upward growth.,2021-11-18, Bank Teller
57,4.0,"Former Employee, more than 10 years",Good company,Good benefits. Treats employees fairly. Great growth from within opportunities.,Past scandals and industry reputation.,2021-11-18, Relationship Manager
58,4.0,Current Employee,Good Company,Pay advancements team members bonuses,Closing branches and short staff,2021-11-18, Personal Banker I
59,4.0,"Current Employee, more than 3 years",Good company,"Pay, employees, pto and flexible","Work on weekends, upset customers",2021-11-18, Bank Teller
60,5.0,Former Employee,Great work space,Great work environment motivated team,Low pay not much compensation for goals,2021-11-16, Personal Banker
61,5.0,Current Employee,Great Company,"Insurance, growth, support, pay rate",Organizational changes could be structured better.,2021-11-17, IFS Associate II
62,5.0,"Former Employee, more than 10 years",Great company,"Flexible, leadership, work life balance",usual stresses of working in this industry,2021-11-17, SVP-Commercial Lender
63,4.0,Current Employee,Great company to gain experience,"They will hire without banking experience 
Provide training, resources, and tools
Good vacation and holiday time",…… …. …:. … ….,2021-11-16, Business Specialist
64,4.0,Former Employee,Great Company,Great pay and benefits. Generally good company culture.,"Wells Fargo is a large, slow-moving company.",2021-11-16, Vice President
65,4.0,"Former Employee, more than 1 year",Nice place to start career,"Great work Community 
Good Pay
Great managers 
18 PTO days","Difficult customers 
Workload can be heavy",2021-11-16, Research and Remediation Analyst
66,4.0,"Current Employee, more than 5 years",Wells,There is competitive pay and flexibility.,Some of the leaders in groups need more training on being transparent.,2021-11-17, Financial Crimes Associate
67,4.0,"Former Employee, more than 3 years",Good but could be better.,"Training and development is great, team morale is important to the company, very diverse.","Micromanaging from leadership, Sales goals that are disguised as something else,",2021-11-17, Service Manager
68,5.0,Current Employee,Excellent,"Great experience, incredible position. Thank you.",Promotion is difficult. Thank you.,2021-11-15, Vice President
69,5.0,"Current Employee, more than 5 years",Service Manager,"Benefits, career opportunities, job environment","Large corporation, does not have a small company feel",2021-11-15, Service Manager
70,5.0,Current Employee,Management is great!,Flexibility is pretty good at Wells.,Compensation can be much better.,2021-11-15, Asset Manager
71,5.0,"Current Employee, more than 3 years",SQL DBA,Great institution with great social benefits,Doing same task over and over,2021-11-15, SQL Server Database Administrator
72,5.0,"Current Employee, more than 5 years",Not terrible lol,"-Generous PTO balance
-Average health benefits 
-Decent 401k match
-Nice office space 
-Remote flexibility","-Bureaucratic 
-Out of touch leadership class 
-Unlikely that any of the bank's products contribute to the wellbeing of society
-Community support impetus is rooted in tax incentives, not actual altruism
-Archaic HR department 
-Difficult to make lateral or upward career moves, largely political and/or luck based advancement",2021-11-15, Anonymous Employee
73,5.0,Current Employee,N/A,A great place to work.,I will add comments later.,2021-11-15, Software QA Engineer
74,5.0,"Current Employee, more than 1 year",WELLS FARGO IS FANTASTIC,"PAY, MEDICAL BENEFITS, SCHOOL BENEFITS and FRIENDLY ENVIRONMENT",Very little training was given but their is a lot of assistance,2021-11-16, Home Preservation Specialist
75,4.0,Former Employee,Good Employer,"Great Benefits, insurance, PTO ,","I cant think of many con's , possibly the amount of politics but I think that is just every where",2021-11-15, Business Banker
76,4.0,Former Employee,Pretty good,There are some friendly people there,Some people are really rude and don’t know how to manage their employees,2021-11-16, Teller
77,4.0,"Current Employee, more than 3 years",Okay,"Team members, bonus, holidays off, pto, health/dental/eye benefits,","District manager, customers, too much work and training without the possibility of overtime.",2021-11-16, Teller
78,5.0,"Current Employee, more than 1 year",Wells Fargo Review,"Great managers, and team members.",There is not much you can do about your work hours.,2021-11-15, Fraud and Claims Ops Specialist
79,5.0,"Former Employee, more than 3 years",Great,"Awesome place to work at especially being part time, I received the same benefits as a full time employee",Not enough space to really move up and progress in the company.,2021-11-15, Bank Teller
80,4.0,Current Employee,Call center rep,Easy work; basic customer service skills,"No cons, pay could be a little more",2021-11-15, Custoner Service Representative
81,5.0,Former Employee,Great JOb,Great company to work for.,Long days when you pull a full day shift,2021-11-13, Anonymous Employee
82,5.0,Current Employee,Great place to work,"Good people, good benefits, good company!",No cons that I can think of,2021-11-13, Compliance Officer
83,5.0,Current Employee,N/a,"Customer focused, so many resources and helpful partners, company takes your feedback into consideration",Not applicable nothing as a con,2021-11-13, Regional Services Consultant
84,4.0,"Former Employee, more than 1 year",Not Your Average Small Town Bank,"Good benefits like; retirement plan offered, 4 months maturnity leave, heath insurance, etc.","Constant manager oberservation, your obligations include sharing digital services like the WF mobile app, mobile deposit, Zelle, etc., with almost EVERY customer you help. Another obligation is to try to refer our customers to sit with personal bankers for financial reviews. You can't just be an ""order taker"" with this job, they expect you to ask the customer questions to uncover possible financial needs. So you have to get comfortable asking these questions and also get good multitasking cause this is expected to be done while your completing their transactions.",2021-11-14, Teller
85,4.0,"Current Employee, more than 3 years",Interesting role,"Pay
I like the company and structure
Opportunities","So many emails
Metrics
Manager’s have not listened when presenting a concern about metrics",2021-11-12, Fraud Specialist IV
86,4.0,"Former Employee, more than 5 years",Great growth opportunities. Too many shifts in management over the last two years.,Great growth opportunities and work life balance. Good 401K contribution.,Issues with upper management shifts. Lower salaries than competitors,2021-11-13, Real Estate Asset Manager
87,3.0,"Former Employee, more than 10 years",Overall it was good but changed,"Salary, PTO flexibility, development focused","Unmoored, lost its focus on all of the good A very political climate with too much emphasis on what people say in their specific interview format not balanced with what they have actually accomplished.",2021-11-27, Division Sales Manager%2C Treasury
88,5.0,Former Employee,Great company!,Great company to work for.,Not a lot of flexibility regarding the schedule.,2021-11-11, Customer Service Representative
89,5.0,Current Employee,Legal Dept,Corporate culture is very work life balanced,Large company with many policies,2021-11-12, Senior Paralegal
90,5.0,"Current Employee, less than 1 year",good service,good company to work for,theres no cons that i know of,2021-11-12, Customer Service Representative
91,5.0,Current Employee,Great Company/Benefits,Great Company with great benefits and perks.,Feel like a robot doing the same thing over and over,2021-11-12, Phone Banker I
92,4.0,Current Employee,Great maternity leave,16 weeks paid maternity leave,Tellers do not get bonuses,2021-11-11, Bank Teller
93,4.0,Current Employee,Good benefits,Good benefits and opportunity to grow,They don't pay reasonably for the amount of responsibility one has.,2021-11-11, Service Manager
94,4.0,"Current Employee, more than 3 years",Great company,"Good culture, work from home, benefits","Pay not great, long hours",2021-11-11, Accounting Clerk II
95,4.0,"Current Employee, less than 1 year",Great Culture,"Work life balance, great co workers, great management","Pay could be better across the board, but they are working on that to stay competitive.",2021-11-11, Recruiter
96,4.0,"Current Employee, more than 10 years",Loan servicing,"Good benefits - insurance, paid time off, etc",Not a lot of room for advancement,2021-11-11, Loan Servicing Specialist
97,4.0,"Current Employee, more than 5 years",NULL,"remote since March 2020, good pay with consistent overtime pay; 1.5x hourly rate, decent benefits (tuition reimbursement, 6% 401k match, healthcare, etc), internal jobs board with salary ranges","sometimes overworked and would not be worth it if it were a salaried position, overall bank reputation not great reputation after 2016 scandals, hard to increase your salary through the Analyst levels 2-4",2021-11-11, Senior Securities Analyst
98,3.0,"Former Employee, more than 1 year",Good Place to Work,Pretty easy work. Just sit on the phone a review peoples credit card accounts and take payments. Plenty of advancement opportunities.,A lot of callers are angry due to fees on their accounts that they did not expect. About half the customers insist you are wrong and have no idea what you’re doing. Be prepared to be cursed at on a fairly regular basis.,2021-11-24, Account Resolution Specialist II
99,5.0,Current Employee,great,"opportunity to move up in the company
benefits
Time off
competitive pay",hmm I can’t think of one,2021-11-10, Anonymous Employee
100,5.0,"Current Employee, more than 8 years",General,"Flexibility, good management, good work place and co workers","Yearly raises are low, growth opportunities in parallel areas",2021-11-10, Mortgage Underwriter
101,5.0,Current Employee,Excellent organization,"Industry Leader, great advancement opportunities","Very large, managers turnover quickly",2021-11-10, Relationship Banker
102,5.0,Current Employee,Great company,Pay and benefits and schedule,The management is horrible and clliquy,2021-11-10, Customer Service Representative Banker Connection
103,5.0,Current Employee,"Good benefits, ethical","Great PTO, health benefits, 401k, paid holidays, sales ethics are good",Difficult growth opportunities after my position,2021-11-10, Branch Manager
104,5.0,"Current Employee, more than 1 year",Nice people,Corporate environment can be very confusing but don’t be afraid to ask questions and you’ll do well. Great pay and benefits.,"Customer service can be very tough, corporate structure means there is a lot of confusion at times.",2021-11-11, Anonymous Employee
105,4.0,Current Employee,Entry-level investment job in a call center.,Good benefits and they take care of their own.,The public hates Wells Fargo so the average customer treats their reps like crap.,2021-11-10, ICC Investment Resource Consultant I
106,4.0,"Current Employee, more than 1 year",Good overall,"Normally not too stressful, good pay",Too much process and read tape,2021-11-10, Anonymous Employee
107,4.0,Current Employee,good place to work,they offer good paid time off,they don don’t offer much in bonuses or pay increase,2021-11-11, Personal Banker
108,4.0,Current Employee,Lead,Great Experience in customer service,At times not enough tellers for the demand.,2021-11-11, Teller At Wells Fargo
109,3.0,Former Employee,Working for Wells,"get an account with percs and benefits
bonuses 
medical and vision","wells fargo treats their employees unfairly 
get treated like employee #1652801 instead of a human",2021-11-24, Personal Banker I
110,3.0,Current Employee,Chaotic,Competitive salary compared to its peers,Work/Life balance - very little to nonexistent,2021-11-24, Director
111,3.0,Former Employee,Okay culture,They have good benefits packages,The biggest con is constant micromanagement,2021-11-24, Anonymous Employee
112,3.0,Current Employee,Teller,The people and 401k benefits,Mangers that don’t really care about being there,2021-11-25, Teller
113,4.0,Current Employee,Good company to work for,"Encourages diversity, values employees input and feedback, stable employment.","So many policies in place, makes it difficult to get things done quickly. Hard to advance when you are inside of company.",2021-11-08, Software Engineer
114,5.0,"Former Employee, more than 3 years",Financial Analyst,"good hours
good building
good people
good benefits
good opportunity",not alot of cons it depends on what area of work you are in,2021-11-09, Financial Analyst
115,5.0,Current Employee,Great Company to work for,Decent pay and benefits with are hard to match,opportunities are slim in certain area,2021-11-09, Personal Banker
116,5.0,"Current Employee, more than 1 year",Yes,Good working environment and great teamwork,No transparency on salary scales,2021-11-09, Business Support Consultant III
117,5.0,Current Employee,.,great benefits and a culture,nothing to report at this time,2021-11-09, Relationship Banker
118,5.0,Current Employee,good place to work with!,"With good teamwork and a management, you are able to grow.",their base pay is low.,2021-11-09, Bank Teller
119,5.0,"Current Employee, more than 3 years",Great company,Great company to work for. New business model is great,"Nothing to complain about, great company atmosphere",2021-11-09, Personal Banker I
120,5.0,Current Employee,Great Place,Benefits and people are great,I can’t really think of Any,2021-11-10, Personal Banker
121,2.0,"Former Employee, more than 3 years",WORK,"get to work from home, easy systems to follow, benefits","lack or leadership, management skills, no work life bal",2021-11-24, Operations
122,2.0,Former Employee,bad management,"set schedule, casual dress code",hypocritical management. managers gossip. some people break the dress code without a word spoken to them while others get reprimanded. poor experience overall.,2021-11-24, Customer Service Professional
123,2.0,"Current Employee, more than 1 year",N/A,You get the bank holidays,There is no guidance for Growth in the company,2021-11-24, Commercial Credit Analyst
124,2.0,"Current Employee, more than 3 years",Good comp,Great benefits food people co workers,Long hours long days tired,2021-11-25, Manager
125,5.0,"Current Employee, more than 10 years",Wells Fargo,Wells Fargo offers great benefits.,Too many changes to management in the company.,2021-11-06, Operations
126,4.0,Current Employee,Reorg,Good work life balance and supportive,Things are layered with a lot of procedures,2021-11-09, Anonymous Employee
127,4.0,Former Employee,Great Staff,Great team and work enviroment,Sales culture adapted from the westcoast was completely different and much more agressive than Wachhovis,2021-11-09, Customer Service Representative (CSR)
128,4.0,"Current Employee, more than 8 years",Like the job but not the pay,"Great Co workers, life/career balance, good managers, etc",Pay was not great for internals that were promoted. Difficult to get promoted. Favoritism was obvious.,2021-11-09, Fraud Claims Specialist
129,4.0,Current Employee,Work,"-9-5 job 
-good team
-good benefits and perks","-boring job,do some thing over and over again",2021-11-09, Technology Associate
130,4.0,Current Employee,Good company,The Benefits are good and opportunity,I don’t have any cons to say,2021-11-10, Collections Specialist
131,4.0,"Former Employee, more than 1 year",Advisor,The pay was decent and the job wasn’t difficult.,Not much upward mobility. Didn’t offer much career development as promised,2021-11-10, Anonymous Employee
132,4.0,"Current Employee, more than 3 years",Decent pay,"Great benefits, decent pay , and PTO",Staffing issues can be stressful,2021-11-10, Bank Teller
133,3.0,Current Employee,Dedicated Employee,"Peers, COVID flexibility, area branch managers","Over worked, Understaffed, not rewarded",2021-11-23, Assistant Field support manager
134,3.0,"Current Employee, more than 1 year","Great to their employees, lousy to their customers...","if you have any sort of disability or require special working conditions, even to the extent that you need to take several days off a month because of your mental/physical health, Wells Fargo is the place for you. All you need is for a doctor to fill out a 6 page form stating what your condition is and what accommodations you require. With said documentation, Wells will bend over backwards to accommodate your mental/physical condition, as well as any situations that arise within your family . Whether it's only being able to work 6 hours a shift, needing to take emergency, extended family leave for a non life-threatening situation or being allotted several excused absences per month because of a chronic medical condition, Wells Fargo will adapt the schedule, the work environment, to the individual's needs instead of trying to force them into an untenable work situation which would result in an unhappy, underproductive employee who wouldn't last very long.","They are a large. greedy corporate machine that sees numbers and not customers. I spend a lot of time teaching people about their lines of credit because the more they know, the harder it is for the bank to take money from them. I'm not allowed to tell them what ALL their options are or I get into trouble, but if no one tells them something is possible, how will they know to ask? I feel like I often work with the customer AGAINST the company! I just want to be able to offer the customers the best options possible without getting into trouble.",2021-11-24, Home Equity Specialist
135,3.0,Current Employee,Great Benefits but getting time off is nearly impossible,Benefits are great and Decent pay,"Not enough training and support. 
Impossible to schedule pto.",2021-11-24, Customer Service
136,5.0,Former Employee,Teller,"Hours, paid holidays, no weekends , training","Favoritism , hard to advance depending on management",2021-11-08, Bank Teller
137,5.0,"Former Employee, less than 1 year",Intern,Lots of resources and a great atmosphere,No benefits as an intern and hourly pay,2021-11-08, Wealth and Investment Management
138,5.0,"Current Employee, more than 5 years",Awesome Job,"Great Manager, awesome position to work independently! Best Job I ever had Honestly!
Great work life balance!","Staying on top of material updates and changes. Hard to grow in this position, but not impossible. Many people get comfortable and stay in this position for years!",2021-11-08, Learning and Development Facilitator
139,2.0,Former Employee,Internal Audit is a nightmare at Wells,Pay is very competitive and benefits are good,"I quit Wells in 2020. Internal Audit at Wells has had a MAJOR exodus of people leaving in 2019-2021 because of several reasons. You have to log all your time and meet productivity requirements. Meetings, trainings, don’t count. You have to somehow reach a 96% efficiency. It’s kind of like being in work prison. There is little to no chance of advancement. You have to invest years here before you are even considered. Favoritism abounds here. The audit process and systems are so complicated And convoluted, you’re going to be confused 99% of the time. Everything is always changing. Processes , templates, methodologies….everything. All the senior management are so worried about career advancement they undertake projects to improve things. That creates a HUGE mess. The company is so big and there are so many different lines of business it’s always chaotic and crazy. Too much to know and too little time focusing on actual audit work. Roles are never defined and you never know what you are responsible for. Too much work and not enough down time. You can’t reach out and contact people. You will get reprimanded for contacting the wrong people and asking a question. Everyone is kept fearful of senior management.",2021-11-23, Senior Internal Auditor
140,2.0,Former Employee,Internal Audit is a nightmare at Wells,Pay is very competitive and benefits are good,"I quit Wells in 2020. Internal Audit at Wells has had a MAJOR exodus of people leaving in 2019-2021 because of several reasons. You have to log all your time and meet productivity requirements. Meetings, trainings, don’t count. You have to somehow reach a 96% efficiency. It’s kind of like being in work prison. There is little to no chance of advancement. You have to invest years here before you are even considered. Favoritism abounds here. The audit process and systems are so complicated And convoluted, you’re going to be confused 99% of the time. Everything is always changing. Processes , templates, methodologies….everything. All the senior management are so worried about career advancement they undertake projects to improve things. That creates a HUGE mess. The company is so big and there are so many different lines of business it’s always chaotic and crazy. Too much to know and too little time focusing on actual audit work. Roles are never defined and you never know what you are responsible for. Too much work and not enough down time. You can’t reach out and contact people. You will get reprimanded for contacting the wrong people and asking a question. Everyone is kept fearful of senior management.",2021-11-23, Senior Internal Auditor
141,4.0,Former Employee,WF,The main pro I can think of is Good benefits,The only con I can think of is below average pay,2021-11-08, Software Engneering
142,4.0,"Current Employee, more than 3 years",Great employment opportunity,Loyalty to employees and advancement opportunities,A very large and somewhat segmented company,2021-11-08, Relationship Banker
143,4.0,Current Employee,Good but Slow,Good company with comprehensive server,Slow adapting changes in some situation,2021-11-08, Analyst
144,4.0,"Former Employee, more than 1 year",Good place to work,"Nice manager, work life balance",There isn’t a No career opportunity,2021-11-08, Anonymous Employee
145,4.0,Current Employee,Great culture; a lot of transition,"Smart, caring colleagues
Good culture & DEI",New leaders cutting expenses and people,2021-11-09, Senior Regional Manager-Sales
146,4.0,Current Employee,Perfect,Good empolyee Benefits and incentives,Long work Hours for employees,2021-11-09, Mortgage Loan Processor
147,4.0,"Former Employee, more than 5 years",Ehh,Opportunities to grow in the company,but not so much the roles,2021-11-09, Business Banking Specialist
148,3.0,Former Employee,Not enjoyable,Decent hours and good benefits,Cut throat management. Focused too much in numbers rather than customers.,2021-11-22, Manager
149,3.0,"Former Employee, more than 10 years",It’s okay,Good benefits. Lots of time off.,Lots of pressure to produce.,2021-11-22, Relationship Manager
150,3.0,Former Employee,Good management but poor pay,A lot of flexibility and good management,"Poor pay, long hours during production period each month.",2021-11-23, Securities Analyst
151,3.0,"Former Employee, more than 5 years",Quality Analyst,Great Teamwork. People are helpful.,Let people go without any notice. Hard to get promotion.,2021-11-23, Senior Quality Analyst
152,5.0,Current Employee,Software Engineer,"Flexibility, ability to work from home.",Not much time for cross training.,2021-11-07, Software Engineer
153,5.0,"Current Employee, more than 10 years",Wonderful Company,"Paid holidays, employer 401k contributions, generous PTO.",Company prefers in person work arrangements vs. permanent work from home.,2021-11-08, Business Systems Consultant
154,5.0,Current Employee,Great benefits,I've been with WF for over 2 years now. They have great benefits and great opportunities to move forward.,There is no cons for working at WF.,2021-11-08, Mortgage Closer
155,5.0,"Current Employee, more than 3 years",good company,good experience with the employees,compensation left a lot to be desired,2021-11-08, Customer Success Specialist
156,4.0,Current Employee,Experience heavily impacted by COVID,Lots of PTO and holidays,Has some harsh regulations that can greatly impact your employment if you make a mistake,2021-11-07, Lead Teller
157,4.0,Current Employee,Customer Service,Great benefits and Great Training,It’s hard to excel out of your position,2021-11-08, Escalated Complaints Specialist
158,4.0,"Former Employee, more than 10 years",Great company,"Flexible, great people, interesting work and fun",It can be a bit political and meeting/ powerpoint obsessed,2021-11-08, Senior Vice President Product
159,4.0,"Current Employee, more than 10 years","Some good things, some bad","Tuition reimbursement, 401k match, and overall benefits",Executive management is doesn't take care of it's people,2021-11-08, Enterprise Investigator
