,rating,employee_type,review,pros,cons,date,job title
13,4.0,"Current Employee, more than 10 years",Great Company to work for Good Benefits you get out what you put in,"Great Benefits compared to other companies 
A lot of time off once you have been working for several years
Ok pay but they can be below market value for some jobs. If coming into the company as a new employee seek to come in at a higher rate if unsatisfied with their first offer.",some jobs pay lower than industry rates. To make the most of things need to change jobs and seek promotions or leave and comeback at a higher rate of pay. If you stay in the company and don't do those things your salary may have limited growth to yearly standard merit increases.,2021-11-21, Network Analyst
14,3.0,Current Employee,"Fake culture, Toxic leadership","Benefits, vacation time, discounts on home services, flexible hours","Micro-managed, everyone cheats and is hush-hush about it. Your main competition is your coworkers and all the hoops you have to jump through to get a sale through is exhausting. Management is not chosen by who is best fit for the job rather office politics and success as a sales rep— which doesn’t equate to being a great leader. So much negativity, condescending, unfair treatment and sly insults that it affects your mental health. It’s sad because I like Comcast and want them to be a better company but the sales department is very toxic. There are a few great people here left but at the end of the day, you’re a number and training isn’t helpful or thorough enough to help do your job adequately without being somewhat sloppy with your orders and through shady prospecting tactics. Comcast has a bad reputation because of the sales culture and how you’re basically told to hurry up get sales across. Be prepared to work incredibly hard with how much internal challenges that are present — micromanaging, poor training, complex rules and regulations, etc.",2021-11-02, Senior Business Account Executive
15,1.0,"Former Employee, more than 5 years",Stressful environment and shity customers,"- Discounted Cable
- Work from Home (if you like that)","- Constantly Changing for the Worse ""The C in Comcast stands for Change""
- Lack of support
- Horrible Mental Health Care. 
- Horrible Customers
- Mixed Bag Co-Workers
- Systems that you rely on for work Barely work.
- Non Unified Call Grading System. 
- Sales are Manditory even in Troubleshooting / Technical Support Positions 
- Because of Large Covered Area No Breaks in Calls even to Notate Accounts. 
- Be Ready to Fix Other Reps Mistakes
- Be Prepared to get Messed over if you wanted to do Power Shift.",2021-11-10, Accouny Executive
16,4.0,"Current Employee, more than 1 year",My Opinion,"-Great, fun, open, and inclusive company culture. 
-Quarterly bonus
-Fantastic medical benefits, even pet health insurance
-matching for 401k and IRA 
-The company will try to relocate you before resorting to layoffs
-Essential services (pandemic proof)
-Committed to constantly evolving to meet the changes of the industry
-Promotes from within mostly","-Most employees start at entry level since the company prefers to promote from within with a rate of over 80%.
-Pay is generally close to the national average so if you live in an expensive city, don't expect them to adjust for the location.",2021-11-16, Supply Chain Professional
17,5.0,"Current Employee, more than 3 years",Great place to work,Great Benefits and pay. Very flexible and lots of paid time off that you don't get punished for using.,It can be very Mentally stressful when first starting out or on busy days which are few and far between. Once you get it down though the job is relatively easy.,2021-11-23, Subject Matter Expert
18,5.0,"Current Employee, more than 10 years",Great company to work for,Comcast is at the forefront of technology connecting people and I get to be a part of it. The job offers a great deal of freedom and the work changes constantly. Comcast has a very competitive benefits package.,Maintaining cable infrastructure can lead to some long hours when storms or accidents occur. Its part of the job.,2021-11-22, Network Maintenance Technician
19,5.0,"Current Employee, more than 3 years",Great Company to work for!,"Great Benefits 
Great Perks
Flexible
Supportive
Great events
Great work environment",None that I can think of at this moment,2021-11-24, Campus Operations Ambassador
20,4.0,"Current Employee, more than 5 years","Sincere People, Great Benefits","The company really cares about the employees and the community. Great culture.

The benefits are great.

There’s lots of communication and available information on everything.

Lots of opportunities to grow.",Pay lags behind competitors in the industry.,2021-11-24, Manager
21,3.0,"Current Employee, more than 3 years",Management problems since Covid,Comcast had great roles before the pandemic. Now it's hard to find good roles in the company. There are solid salary and benefits at the company when you find a role. The company used to have a good culture with opportunities for growth.,Comcast employees have been losing jobs that are being replaced by large IT vendors offshoring our work. I joined in a vendor call last week where the vendor talked negatively about Comcast Technology executives and employees on the newest project. These are the same people giving the vendor more and more work! It's demoralizing to employees to listen in. Employees are loyal and hardworking but Comcast executives don't seem to care.,2021-11-14, Director
22,4.0,Current Employee,"Great Company, Great Pay if you Apply Your Self","Great Benefits, Courtesy Services As Employee, Great Pay if you are self motivated","Repetitive Work, Upset/Irate Customers(giving off negative energy)",2021-10-20, Remote Customer Service Representative
23,1.0,"Former Employee, less than 1 year",Weird hours and no work-life balance,Good health insurance (even though they take so much out of your check for it),"There are a lot. I was hired as a permanent WFH employee and it has been the most constricting WFH experience ever. They don't send you a laptop, they give you just 2 desktop computers and a bunch of wires. The setup is truly terrible. And i have been a WFH employee at a previous jobs and this is truly the worse set up I have seen. The pay is very low for what is expected of you and being constantly monitors, its almost as if they treat you like its a high paying job. Everything you do is monitored so if you like that kind of job this is for you. The interview process is very extra. I did 3 interviews all of which i was asked the same questions by different people. On several occasions i had to track down the payroll supervisor because my check was short and missing hours. The job is very sales driven. My trainer was terrible he didnt answer people’s questions and none of us knew what they were doing when we started taking calls. I quit before i even reached 90 days and so did another person in my class. I do not like the company culture, not my cup of tea or type of people.",2021-09-30, Retention Representative
24,5.0,"Current Employee, more than 3 years",Sr Data Analyst,"Good work culture
Good Pay
Good Benefits
Good Work-Life Balance",No really any cons i found so far,2021-11-24, Senior Data Analyst/Senior Product Analyst
25,4.0,Current Employee,Change is constant,Total rewards are at or slightly above industry standards,"Your experience depends on the channel you're in. High turnover in COE/Retail roles, but greater insulation in leadership and other sales/sales support channels.",2021-11-16, Sales Development Manager
26,5.0,"Current Employee, more than 10 years",Excellent Pay,Good pay flexible hours excellent benefits,There are times where there is stagnation in development.,2021-11-23, RTE Specialist
27,4.0,Current Employee,up and down,They have great benefits here,very hard to progress and make more money,2021-11-24, Warehouse Worker
28,4.0,"Current Employee, more than 1 year",Great Benefits,Support and Benefits are some of the best that I have had.,My days can end up being very long and I don't always get off when expected.,2021-11-20, Residential Technician
29,5.0,"Current Employee, more than 1 year",Amazing feeling working for them,"Diversity. Community support, communication, incentives, friendly",Hourly pay. Changes take a while,2021-11-23, Customer Experience Professional
30,4.0,Current Employee,Great place to work.,Accommodating for people with families. Lots of opportunities internally,Needs some work to stay competitive in the job market,2021-11-21, Senior Software Engineering Manager
31,5.0,Former Employee,Amazing,Unlimited upward mobility and options.,Large organization that moves like one.,2021-11-23, Manager
32,5.0,Current Employee,Comcast - NBC Universal,Embracing and deploying future technologies,None. No cons to note,2021-11-19, Network Analyst
33,2.0,"Current Employee, less than 1 year","Great Company but the ""WE"" in the mission statement is omitted","Work will keep you busy and as a manager, you need to figure out what works for you.","When you figure out what is not working in the company, you don't know what works for you as you don't get the help you need or more importantly, the reason why you can't get it is because the person above you does not have access to the data or have the time to assess the effectiveness of the work you are being employed for. As a result, the ""WE"" in the mission statement is omitted.",2021-11-11, Territory Manager
34,4.0,Former Employee,Great company to work for,One of the easiest jobs I've ever had. Good culture at my location. Good peripheral benefits.,"Really, really boring at times. There'd be days I'd have two or three hours worth of work to do for the whole day.",2021-11-14, Warehouse Representative
35,5.0,Former Employee,nice place to be,excellent pay and excellent coworkers:),"i couldnt really get a raise when i really needed it, they didn't see me as a person",2021-11-18, Cable Installer
36,4.0,Current Employee,Your manager is key to your experience,"Fair compensation; good benefits, deeply discounted cable services if you live in footprint",Like any company the quality of your work experience is highly dependent on your manager.,2021-11-17, Senior Manager
37,2.0,"Current Employee, more than 5 years",Ignore management and just do real estate transfers.,High salary/bonus if you read between the lines and ignore management suggestions to just cold call and sell cable to people who owe the company money.,"They say you make +$100k, but you make $40-50 k unless you cheat.",2021-11-24, Direct Sales
38,1.0,"Former Employee, more than 8 years",Comcast is wildly out of compliance at this location with both the law and best business practices,"They pay was good in the teens, and frankly the job is easy.
I liked my coworkers","Customers.
They are the worst people and assume you are trash.
Managers.
Not top quality. In fact many of them seem to lack an understanding of the academics of business management.
Also rampant nepotism, and I am personally aware of MULITPLE EEOC and LABOR dept beefs at this location, so be aware they will try to take advantage of you in ways that are markedly illegal. 
I was able to confirm with conversations with collegaues and through an audit of results that there are some reps who are only allowed to make sales on calls that are counted in the queue, and other reps who can make sales through other methods. When I bought this to Comcast's attention, i was harassed on the floor by a Supervisor who is still coaching reps. Further, I was retaliated against until my position became untenable. 
 I found other work far too late.",2021-10-05, Inbound Sales Representative
39,5.0,Current Employee,Management,"Awesome company to work for. Great benefits, work-life balance. Enormous amount of support in career growth and development. Great culture and atmosphere. Extremely diverse and pro-employee driven.",none to share at this time.,2021-11-15, Manager
40,4.0,"Former Employee, more than 5 years",Decent place to work,Great time off. Decent benefits from day one. Good people.,Pay is on the low side for the work load.,2021-11-17, TSC Technician
41,3.0,"Current Employee, more than 5 years","Great work life balance, Good overall for junior engineers, Average to bad for everything else","* Average work load is not high at all (only a few busy weeks in a year)

* You may find good managers and interesting projects, if you are lucky","* Significantly below industry average compensation
* 20% of the engineers doing 80% of the work, sometimes worse
* High performing engineers are not rewarded with better compensation
* Career growth is non-existent in technical track after Principal Engineer
* A lot of people doing artificial busy work to demonstrate value
* Management incentives seem to favor hiring many junior engineers instead of rewarding and retaining senior engineers",2021-11-05, Principal Software Engineer
42,5.0,"Current Employee, more than 1 year",Great place to work,I’ve never been on a team that wasn’t diverse and there’s plenty of opportunities for lateral and vertical movement.,Not much room for salary negotiations,2021-11-16, Senior Accountant
43,4.0,Former Employee,My reflection of Comcast,Fortune 50 Company. On the cutting edge of innovation.,A lot of layers of management to go through to a decision made.,2021-11-16, Account Executive
44,5.0,Current Employee,"Great company, Great benefits","Comcast has the best benefits in the nation. 401k, great medical and a all out great company to work for. Positivity is a must here it helps create the great customer experience.","Not for everyone, you will deal with customers from all walks of life",2021-11-09, Customer Server Representative
45,2.0,Current Employee,Bad company to work for besides benefits and pay,Benefits and pay are good,Everything else. The customers are the worst part. They are rude and take all their frustrations out on you. I had the worst experience with customers at this job.,2021-11-19, Retention Specialist
46,5.0,Current Employee,Good money,Made good money with commission,Micromanaged by team leads. You have to be on the phone all day.,2021-11-18, Call Center Representative
47,5.0,"Current Employee, less than 1 year",Review,Its a pretty good place to work,Not many cons. Pretty good opportunity,2021-11-19, Internship
48,4.0,Current Employee,"Decent job, hard to move up","good benefits, and they do allow employees a lot of leeway but that can only go so far",company has lateral and vertical movement and lateral is much more common and doesnt come with pay increase outside of your first or second promotion laterally,2021-11-08, Field Technician
49,4.0,"Former Employee, more than 3 years",Can be low stress but you need to learn your stuff always ask questions and be proactive.,Benefits / Helpful and patience learning a system that is not easy to learn quickly. You can work in many different parts of the company after your first year. Connections are important.,"Nepotism, they do care about you but are very strict on attendance policy but that is fair. Specific job is way underpaid and turnover due to abuse from internal agents that you are HELPING.",2021-10-13, Channel Support Specialist
50,5.0,"Current Employee, more than 1 year",Good benefit but low base pay,"Benefits
Diversity 
Free internet 
Health benefits","Low pay
Hard to grow
Management change constantly",2021-11-17, Tech1
51,4.0,"Current Employee, more than 5 years",Good employer,Good supervisors make good technicians,"Metric driven, care more about numbers than anything else.",2021-11-16, Telco Technician
52,5.0,Current Employee,Philadelphia office,Good benefits and competitive salary,"Constant reorganization, constant burn outs",2021-11-18, IT Project Manager
53,4.0,"Current Employee, more than 10 years",Review,Good pay & benefits. Management works with you on developmental opportunities. Part of my 4 stars is the FAMILY we build at work.,"Sometimes management, Directors, can be more focused on metrics for their personal income growth than the employees who’ve made a family w/others.",2021-10-08, Technical Operations Supervisor
54,5.0,Current Employee,Amazing company to work for,Amazing benefits and gifts from time to time that really make you feel appreciated. Also the discounted services and free universal tickets are amazing,"Stressful at times, but you have a good team to keep motivated",2021-11-11, Retail Associate
55,5.0,Current Employee,Great Company to work for,"Remote work, benefits, PTO and comission structure",Schedule is the worst part when you start.,2021-11-17, Inside Sales
56,3.0,"Current Employee, more than 5 years",Good benefits but poor leadership,"Honestly only the benefits are the pros. Some of us went through all steps to make move to management such as leadership trainings etc and there is not much room for upward mobility, this is a reason people are leaving aside from not great leadership.","Manager was ok but disconnected from analyst's work. Biggest issues stem from director of team and VP of team. Director doesnt listen, talks over you during meetings and just runs on and on going in all directions, diverting from the purpose of the meeting and muddying up the point of the call. Instead of providing direction, everyone leaves meetings more confused than before the call. VP of group has no concern about team morale because she is too disconnected from the team, only hears director's thoughts/opinions on things. Would work at the company again but never for director. Also for some reason director is obsessed with treating people like his kids, wants ppl back in the office and will come up with any excuse why it ""makes more sense"", is ""more productive"" etc, portrays it like people want to be back in the office but in reality noone on the team wants it but director. Also they will try to convince you that pay is consistent across analysts but in reality if you get promoted internally you are getting punished vs external employees pay.",2021-07-14, Senior Marketing Research Analyst
57,4.0,"Current Employee, more than 3 years",Solid company,Plenty of interesting work for you.,Fast paced and at the whims of our product team.,2021-11-17, Anonymous Employee
58,5.0,Former Employee,Solid,"Great pay, solid management who cares.",Not many cons unless you aren't a hard worker. It's a busy job.,2021-11-15, Ibound Customer Service Representative
59,5.0,"Current Employee, more than 1 year",Salary is base plus targeted commission,Great training process; targeted commission so that you can achieve your goals.,Big company means lots of eyes,2021-11-12, Community Account Representative
60,5.0,"Current Employee, more than 10 years",Great company,Great company to work for,Money and benefits not the best,2021-11-16, Software Engineer
61,4.0,Former Employee,Comcast is a good company,Good Company with benefits and perks,No negative reviews for this company.,2021-11-16, Field Technician
62,3.0,"Current Employee, more than 10 years",Under Valued,Great benefits but that's about it,"People there honestly don't care, they act like they do but don't. Underpaid, They compare to other companies per hour paid and that is fair but most others have pensions.",2021-11-23, Network/Telecommunications Technician
63,5.0,Current Employee,Great place to work,"Great culture; leaders listen and care; benefits are great; pay is average; cable, internet and home security for almost nothing, just pay rental fees for equipment; career development within jobs; many jobs are work from home","Minimal raises annually, even for top performers;",2021-11-05, Data Analyst
64,5.0,Current Employee,Great company,Great benefits at the company,Work life balance could be much better,2021-11-14, Sales Supervisor
65,5.0,Former Employee,Great,All pros no cons just all around awesome,None! It was a great job,2021-11-15, Sales
66,2.0,"Current Employee, more than 1 year",Untrustworthy,"Benefits, virtual worksite, autonomous work, light workload, relaxed and helpful supervisors, responsive management","Rescinds promises that affect pay, holiday schedules, and weekly schedules. They made a schedule commitment during hiring, then took away the weekend for some people a few months later only to take away weekends from other groups again a few months later. They committed to a holiday schedule and within 6 months eliminated that schedule so we won't know about the winter holidays until 2 months in advance. My pay has been changed twice due to errors.",2021-11-02, Routing Representative
67,4.0,Current Employee,Comcast,Schedule is very accommodating and flexible,Micromanaging is the worst. The metrics are unobtainable,2021-11-16, Customer Service Representative
68,4.0,"Current Employee, more than 3 years","Conservative company and pay, but great colleagues","The work is varied, colleagues are great and company hierarchy is such that you can talk to anybody","Conservative company, with less than competitive salaries for internal moves",2021-11-10, Manager Employee Engagement
69,5.0,"Current Employee, more than 3 years",Good,Working here is really good,No cons I can think of,2021-11-16, Software Engineer
70,5.0,"Current Employee, more than 5 years",Great Place to Work,Great benefits and culture. Caring Management,"Turbulence
Cost cutting can lead to unexpected job loss",2021-11-11, Sales Executive
71,5.0,"Former Employee, more than 1 year",In house sales,"Great work environment, good pay","Stressfull, have to meet quotas, lots of driving",2021-11-13, IM House Sales
72,4.0,"Former Employee, more than 8 years",Great Company,"Great benefits, decent pay, good people, over 4 weeks of combined paid time off between flex time and vacation time at the start.",Tools changes make the agent have less ability to help customer. Job switches to line of questioning and calls take 10 min to follow LOQ and agent could have fixed the issue in 1 minute. Some managers are cool and others are micro managers and only care about stats and not the people on their team. Left after 9 years solely because of a bad supervisor.,2021-08-14, CAE - IP Support Specialist
73,4.0,"Current Employee, more than 3 years",Customer service is their best product,"Work from home
Great workplace environment and teams to work with
Opportunity for career advancement
Great benefits that outweigh compensation","Repetitive
Pay does not match workload
Lack of communication and/or training on new developments",2021-11-02, Digital Care Specialist
74,5.0,"Former Employee, more than 3 years",Former employee,Great company that provides good benefits and perks. The starting pay plus commission is good.,Being a sales representative you deal with a lot of customer service and the customers are not always the nicest.,2021-11-04, Sales Representative
75,4.0,"Current Employee, more than 3 years","Great company, less than great customers",The company is super supportive and inclusive and the benefits are amazing!!,"The company is super supportive and inclusive and the benefits are amazing!! But if you’re in the call center, be prepared to have your mental health take a nosedive. The customers are usually only calling because something is wrong, so I get it. It at the same time.. we are human too",2021-10-11, Anonymous Employee
76,1.0,"Current Employee, more than 5 years",RUN FOR THE HILLS!,Free universal tickets once a year,"The worst company I have ever worked for BY FAR! They do NOT care about their employees or customers! All they care about is upselling every chance they can. They don't care if the customer is crying on the phone because they can't pay their bill, they still want you to act like their psychiatrist, do probing and discovery questions and try to upsell anyways! The culture is super aggressive and unjust! The bilingual department in Miramar is AWFUL and they are so fake and hungry for money it's super sad! They try to TRICK customers to get all the services or lie about prices to get sales!. I can't even believe they are still in business! They also treat their employees like worthless selling machines! If you're not selling, you're not valueable to them! Doesn't matter how much you care about your customers, they don't! You can't even downgrade services for customers without getting in huge trouble and could get fired. It's insane to me to think how this company works! Run away!!",2021-09-19, Inbound Sales Representative
77,5.0,Current Employee,Bbh,Very good pay nice environment,"Didn’t like my manage, my shift was to early",2021-11-14, Customer Service Representative (Kaiser Permanente)
78,4.0,"Current Employee, more than 3 years",Sales Rep,Good benefits as well as decent pay and structure,Short staffed a lot of equip issues,2021-11-12, Sales Representative
79,4.0,Current Employee,Great Benefits but Average Pay,Great Benefits. Discounted Cable. Large corporation so ability to move,Hard to advance. Pay and Pay Increases are not always good,2021-11-03, Operations Engineer
80,5.0,"Current Employee, more than 5 years",Good place to work,"Good people, good financial package, concern for employee well being",Work can seem siloed across departments,2021-11-10, Product Manager
81,5.0,Current Employee,.,Really great benefits from the company,Their are no cons I can think of at this current moment,2021-11-10, Xfinity Sales Professional XSP
82,5.0,"Current Employee, more than 10 years",Good Company,"Benefits, hours, pay, people are all ggod things here.",Being on call alot in bad weather.,2021-11-11, Network Technician
83,5.0,"Current Employee, less than 1 year",Great company,"I love the wonderful family friendly environment. They set you up for success, training is top notch.",Sometimes the hours are late.,2021-11-09, Retention Specialist
84,4.0,"Current Employee, more than 1 year",Good place to work,"Benefits are great, room for growth, good management",Systems changes and issues so many benefits you need a updated list or you will miss out,2021-11-03, Retention Agent
85,3.0,"Current Employee, less than 1 year",It’s okay,The job has its positives like time off is available.,The job is very stressful and not a lot of training.,2021-11-23, Appointment Manager
86,5.0,Current Employee,Awesome,This company has great benefits,There aren’t really any cons,2021-11-12, Inside Sales Representative
87,4.0,Former Employee,Great,Commission the money was good,You have to adjust that you may work ot,2021-11-10, Sales CAE
88,5.0,"Current Employee, more than 3 years",n/a,"great benefits, career advancement, work life balance",there are no cons to report,2021-11-11, Headend Technician
89,4.0,"Current Employee, less than 1 year",Decent,Money is pretty decent if you work hard,Very commission dependent at this company,2021-11-08, Sales
90,1.0,"Former Employee, more than 5 years","Extremely stressful job, high turn over, impossible stats, no support, tools given never work",Pay is better than most companies but not enough to cover the mental counseling you will require. Courtesy services is great but not completely free. They give free yearly passes to Universal studios.,Health benifits are expensive and metioker. This place does drive everyone mental trust me 90% of call center sees a psychiatrist and are medicated. the benefits only give a few free visits and working here will put even the strongest mentality sain person in the looney bin. The company regularly covers up sexual harrassment in work place. they cover up retaliation from leadership and other coworkers depending on whom they favor more. leadership bullies reps to make impossible stats by threatening job loss all the time. customers are irate boligerant because company wants to build theme parks in tokyo instead of putting money into improving there system and tools to be more stable! they constantly change the stats to raise the bar so your best bet is to not let them promote you because you will quickly drown and get promoted to customer! trust me they don't want to do anything to support customers so why would they care about there employees lets be honest every employee is expandable and they are nothing more than a number.  Worst company i ever worked for to be honest. I would never recommend it to anyone! The amount of stress you get will slowly kill you.  Just to give an example of how bad it is... they give us broken useless tools... tell us to stick to scripted line of questioning that is useless and does not fix issue; only to come up with hey after you do that hit this button tell customer wait an hour to temporarily fix it! mean while they know they have had ongoing issue with new cable box platform for over a month where units religiously shut down and we temporarily fix then they hold us responsible for customer call backs and say if we had advised of self service options that don't fix the issue that it would've prevented the call back and we don't ask for 100%!  Oh and you have to sell every call and finish every call in 12 minutes or less. Oh forget escalating to leadership because they refuse to take irate boligerant customer calls. Let me save your sanity don't work here i left and it was best move i ever made.,2021-11-11, Priority Bulk Representative
91,5.0,Current Employee,Great place to work,Im a door to door so i can make my own hours and the commission is great,Too much pressure and not a good training,2021-11-03, Sales Representative
92,3.0,Former Employee,"Good Training, not ready for actual customers.","Good pay, benefits and managers.",Actual customers are a nightmare 75% of the time.,2021-11-23, Customer Account Executive
93,3.0,Former Employee,My Comcast experience,"Below average pay, great benefits lots of leadership training","Below average pay, overworked, unrealistic metric goals, very stressful environment",2021-11-19, Technical Operations Supervisor
94,5.0,"Current Employee, more than 1 year",Great Company to work for,"Excellent benefits and compensation, fair with employees when makin decisions,",not an easy job working outdoors in all types of weather conditions,2021-11-04, Direct Sales Representative
95,5.0,Former Employee,Great Place of Work,I loved the people that I worked with and what I got to do in regards to developing the culture at Comcast,"The only downside was that the work environment was very fast paced, which sometimes I couldn't keep up with.",2021-10-27, Internal Communications Specialist
96,4.0,Current Employee,Viper is pretty great,"• Flexible hours
• interesting work
• friendly, competent managers","• ill-defined job definition
• frequent re-organization",2021-10-28, Software Engineer III
97,4.0,"Current Employee, more than 3 years",Very solid,"Benefits are awesome, structure is flawed but is a good system",The pay is the worse and is overbearing,2021-11-03, Customer Facing Technician
98,5.0,"Former Employee, more than 1 year",Won't find a better job,"6 figure income, great management amazing benefits. Do the work and you will be rewarded.",None that I can think of.,2021-11-02, Direct Sales
