,index,rating,employee_type,review,date_position,pros,cons,date,job title
38,3,5.0,"Current Employee, more than 1 year",Job summary,"Oct 15, 2021 - Sales Associate",Good benefits along with good collaboration with management on hours,Management is very bad very,2021-10-15, Sales Associate
39,3,4.0,Current Employee,Good,"Oct 14, 2021 - R&M Maintenance Supervisor",good working place thank you,not a good environment sadly,2021-10-14, R&M Maintenance Supervisor
40,4,4.0,Former Employee,Cashier,"Oct 14, 2021 - Anonymous Employee",Great people with flexible hours.,Disorganized departments. lack of communication.,2021-10-14, Anonymous Employee
41,4,4.0,"Former Employee, more than 1 year",Good Company,"Oct 14, 2021 - Assistant Manager",Good company for stability. Company has a lot of growth opportunities.,Long hours for management. Being an employee or supervisor is a better job. Code white medical emergencies of customers. Too much for me.,2021-10-14, Assistant Manager
42,4,4.0,"Former Employee, less than 1 year",It's a good first job,"Oct 14, 2021 - Shelf Stocker","flexible hours, decent pay especially for younger people",experience depends on management and co-workers,2021-10-14, Shelf Stocker
43,4,4.0,Current Employee,Eh,"Oct 14, 2021 - Stocker",It’s alright if I’m being honest,"Ton of work, it’s crazy",2021-10-14, Stocker
44,4,4.0,Current Employee,Team Associate,"Oct 14, 2021 - Customer Service Associate","Hours, benefits, PTO, etc. if you are in school they will work around your school schedule, you can be trained anywhere or transfer where ever you need to relocate.","Some managers don't communicate professionally, the biggest problem is everyone wants to be a store manager. Communication is the main problem.",2021-10-14, Customer Service Associate
45,4,4.0,Current Employee,Pretty good,"Oct 14, 2021 - Personal Shopper/OGP",Flexible hours for high schoolers,A little repetitive at times,2021-10-14, Personal Shopper/OGP
46,4,4.0,"Former Employee, less than 1 year",It was fine for the most part.,"Oct 14, 2021 - Stocking TA",I had good co-workers who I could get along with.,Management was a mess at times. A lot of changes occurred without any heads-up.,2021-10-14, Stocking TA
47,4,4.0,Current Employee,it is what it is,"Oct 14, 2021 - Personal Shopper/OGP",it’s not that big of a headache when not understaffed,everyone’s annoying when you’re trying to finish picking quickly and people are bothering u,2021-10-14, Personal Shopper/OGP
48,4,5.0,Former Employee,Good,"Oct 13, 2021 - Software Engineer","Nice people
Good pay
Learn a lot","Location is not ideal
For young people",2021-10-13, Software Engineer
49,4,5.0,"Current Employee, more than 1 year",Great Pay,"Oct 13, 2021 - Certified Pharmacy Technician",Walmart will pay for you to become certified within the first year of hire. Also will cover travel pay and cost of certifications,"Depending on where you're located, the shifts can be very long, but the fat pace helps the day go by",2021-10-13, Certified Pharmacy Technician
50,5,5.0,Current Employee,Good place to start.,"Oct 13, 2021 - Part Time Cashier","-Flexible hours
-Good Benifits
-Good Pay
-Loose dress code","-Perferred to work in 4 hour blocks
-Customers",2021-10-13, Part Time Cashier
51,5,5.0,"Former Employee, less than 1 year",Great store,"Oct 13, 2021 - Cart Attendant","Fun, easy , nice people and a good all around workplace",We are out of stock of a lot of things sometimes,2021-10-13, Cart Attendant
52,5,5.0,"Current Employee, more than 1 year",Great company,"Oct 13, 2021 - DC Order Filler","I am respected as an employee
Great pay and benefits
Free college
Multiple career opportunities","Hard work, short breaks, no a/c",2021-10-13, DC Order Filler
53,5,5.0,Current Employee,Asset protection,"Oct 13, 2021 - Asset Protection Associate",An amazing environment and fun job,Long hours of footage review,2021-10-13, Asset Protection Associate
54,5,5.0,Current Employee,Nice overall,"Oct 14, 2021 - Stock Associate","Very clear instructions, good training",Sometimes unrealistic expectations from night shift,2021-10-14, Stock Associate
55,5,5.0,"Current Employee, more than 1 year",Good starter job,"Oct 14, 2021 - Online Grocery Pickup","pay is really good for a starting job
breaks could be better","would get very busy often times, always on my feet",2021-10-14, Online Grocery Pickup
56,5,5.0,"Former Employee, less than 1 year",Great First Job,"Oct 14, 2021 - Sales Associate","- Relatable co-workers
- Understanding Management
- Fair Pay
- Diverse","- Lack of Management
- Shifting Hours
- Benefits were lacking",2021-10-14, Sales Associate
57,5,5.0,Former Employee,Awdsome,"Oct 14, 2021 - Customer Service Associate",Very good structure and job is reliable,The feedback given to leadership doesn’t really matter,2021-10-14, Customer Service Associate
58,5,5.0,Former Employee,I don't know,"Oct 14, 2021 - Cashier","Very friendly, flexible work days, good pay.","None that I can think of, honestly.",2021-10-14, Cashier
59,5,5.0,Current Employee,Great,"Oct 14, 2021 - Cashier",I liked the environment was nice,The pay wage was low,2021-10-14, Cashier
